Month,P&I Total,Principal,Interest,Extra,Escrow,Total Outflow,Balance
1,10061.57,4161.57,5900.00,0.00,1800.00,11861.57,1195838.43
2,10061.57,4182.03,5879.54,0.00,1800.00,11861.57,1191656.41
3,10061.57,4202.59,5858.98,0.00,1800.00,11861.57,1187453.82
4,10061.57,4223.25,5838.31,0.00,1800.00,11861.57,1183230.57
5,10061.57,4244.01,5817.55,0.00,1800.00,11861.57,1178986.56
6,10061.57,4264.88,5796.68,0.00,1800.00,11861.57,1174721.67
7,10061.57,4285.85,5775.71,0.00,1800.00,11861.57,1170435.82
8,10061.57,4306.92,5754.64,0.00,1800.00,11861.57,1166128.90
9,10061.57,4328.10,5733.47,0.00,1800.00,11861.57,1161800.80
10,10061.57,4349.38,5712.19,0.00,1800.00,11861.57,1157451.42
11,10061.57,4370.76,5690.80,0.00,1800.00,11861.57,1153080.66
12,10061.57,4392.25,5669.31,0.00,1800.00,11861.57,1148688.41
13,10061.57,4413.85,5647.72,0.00,1800.00,11861.57,1144274.56
14,10061.57,4435.55,5626.02,0.00,1800.00,11861.57,1139839.01
15,10061.57,4457.36,5604.21,0.00,1800.00,11861.57,1135381.66
16,10061.57,4479.27,5582.29,0.00,1800.00,11861.57,1130902.39
17,10061.57,4501.30,5560.27,0.00,1800.00,11861.57,1126401.09
18,10061.57,4523.43,5538.14,0.00,1800.00,11861.57,1121877.66
19,10061.57,4545.67,5515.90,0.00,1800.00,11861.57,1117332.00
20,10061.57,4568.02,5493.55,0.00,1800.00,11861.57,1112763.98
21,10061.57,4590.48,5471.09,0.00,1800.00,11861.57,1108173.51
22,10061.57,4613.05,5448.52,0.00,1800.00,11861.57,1103560.46
23,10061.57,4635.73,5425.84,0.00,1800.00,11861.57,1098924.73
24,10061.57,4658.52,5403.05,0.00,1800.00,11861.57,1094266.21
25,10061.57,4681.42,5380.14,0.00,1800.00,11861.57,1089584.79
26,10061.57,4704.44,5357.13,0.00,1800.00,11861.57,1084880.35
27,10061.57,4727.57,5334.00,0.00,1800.00,11861.57,1080152.78
28,10061.57,4750.81,5310.75,0.00,1800.00,11861.57,1075401.97
29,10061.57,4774.17,5287.39,0.00,1800.00,11861.57,1070627.80
30,10061.57,4797.65,5263.92,0.00,1800.00,11861.57,1065830.15
31,10061.57,4821.23,5240.33,0.00,1800.00,11861.57,1061008.92
32,10061.57,4844.94,5216.63,0.00,1800.00,11861.57,1056163.98
33,10061.57,4868.76,5192.81,0.00,1800.00,11861.57,1051295.22
34,10061.57,4892.70,5168.87,0.00,1800.00,11861.57,1046402.52
35,10061.57,4916.75,5144.81,0.00,1800.00,11861.57,1041485.77
36,10061.57,4940.93,5120.64,0.00,1800.00,11861.57,1036544.84
37,10061.57,4965.22,5096.35,0.00,1800.00,11861.57,1031579.62
38,10061.57,4989.63,5071.93,0.00,1800.00,11861.57,1026589.99
39,10061.57,5014.16,5047.40,0.00,1800.00,11861.57,1021575.83
40,10061.57,5038.82,5022.75,0.00,1800.00,11861.57,1016537.01
41,10061.57,5063.59,4997.97,0.00,1800.00,11861.57,1011473.42
42,10061.57,5088.49,4973.08,0.00,1800.00,11861.57,1006384.93
43,10061.57,5113.51,4948.06,0.00,1800.00,11861.57,1001271.42
44,10061.57,5138.65,4922.92,0.00,1800.00,11861.57,996132.78
