Rank,Scenario ID,Name,Cash Down ($),LOC Initial ($),Mortgage Initial ($),Velocity Tier,Quarterly Extra ($),Payoff Month,Payoff Years,Nominal Outflows ($),Total Interest ($),Tax Savings ($),PV Outflows @ 3.8% ($),Delta PV vs Baseline ($),Strategy IRR vs Baseline (%)
1,56,C0k_L1100k_M600k_V0,0,1100000,600000,V0,0,360,30.00,2138502.96,1690671.04,185370.55,1451577.15,-413774.95,N/A
2,61,C0k_L1200k_M500k_V0,0,1200000,500000,V0,0,360,30.00,2124149.75,1645422.74,154475.46,1451947.25,-413404.85,N/A
3,66,C0k_L1300k_M400k_V0,0,1300000,400000,V0,0,360,30.00,2109796.55,1600174.44,123580.37,1454610.48,-410741.62,N/A
4,71,C0k_L1400k_M300k_V0,0,1400000,300000,V0,0,360,30.00,2095443.34,1554926.14,92685.27,1457297.85,-408054.25,N/A
5,76,C0k_L1500k_M200k_V0,0,1500000,200000,V0,0,360,30.00,2081090.13,1509677.85,61790.18,1460239.25,-405112.85,N/A
6,51,C0k_L1000k_M700k_V0,0,1000000,700000,V0,0,360,30.00,2152856.17,1735919.34,216265.64,1463043.38,-402308.72,N/A
7,81,C0k_L1600k_M100k_V0,0,1600000,100000,V0,0,360,30.00,2066736.93,1464429.55,30895.09,1463952.77,-401399.33,N/A
8,86,C0k_L1700k_M0k_V0,0,1700000,0,V0,0,360,30.00,2052383.72,1419181.25,0.00,1468550.29,-396801.81,N/A
9,47,C0k_L900k_M800k_V1,0,900000,800000,V1,5000,314,26.17,2050296.74,1404875.72,226299.51,1471913.19,-393438.91,N/A
10,52,C0k_L1000k_M700k_V1,0,1000000,700000,V1,5000,313,26.08,2036164.01,1360409.98,200652.14,1472946.34,-392405.76,N/A
11,46,C0k_L900k_M800k_V0,0,900000,800000,V0,0,360,30.00,2169288.94,1781167.63,245081.17,1479361.99,-385990.11,N/A
12,57,C0k_L1100k_M600k_V1,0,1100000,600000,V1,5000,312,26.00,2022650.60,1313594.52,172008.86,1482551.97,-382800.13,N/A
13,42,C0k_L800k_M900k_V1,0,800000,900000,V1,5000,312,26.00,2086391.97,1445987.05,240660.01,1482762.98,-382589.12,N/A
14,41,C0k_L800k_M900k_V0,0,800000,900000,V0,0,360,30.00,2195776.16,1826415.93,263842.24,1495694.09,-369658.01,0.86%
15,62,C0k_L1200k_M500k_V1,0,1200000,500000,V1,5000,310,25.83,2016591.02,1269918.80,143830.51,1498227.64,-367124.46,N/A
16,37,C0k_L700k_M1000k_V1,0,700000,1000000,V1,5000,312,26.00,2120035.63,1487719.13,248748.43,1499520.26,-365831.84,N/A
17,36,C0k_L700k_M1000k_V0,0,700000,1000000,V0,0,360,30.00,2228161.82,1871664.23,276704.88,1512036.97,-353315.13,2.19%
18,67,C0k_L1300k_M400k_V1,0,1300000,400000,V1,5000,307,25.58,2013869.14,1224362.14,114952.84,1514440.93,-350911.17,N/A
19,32,C0k_L600k_M1100k_V1,0,600000,1100000,V1,5000,310,25.83,2166067.92,1528298.56,252733.37,1517957.96,-347394.14,N/A
20,31,C0k_L600k_M1100k_V0,0,600000,1100000,V0,0,360,30.00,2263867.08,1916912.53,286247.92,1528379.86,-336972.24,3.09%
21,72,C0k_L1400k_M300k_V1,0,1400000,300000,V1,5000,303,25.25,2016207.26,1179552.29,86045.35,1528874.42,-336477.68,N/A
22,27,C0k_L500k_M1200k_V1,0,500000,1200000,V1,5000,306,25.50,2215486.69,1560025.51,253598.15,1537930.77,-327421.34,N/A
23,77,C0k_L1500k_M200k_V1,0,1500000,200000,V1,5000,294,24.50,2040374.43,1134453.27,56887.16,1543332.96,-322019.14,N/A
24,26,C0k_L500k_M1200k_V0,0,500000,1200000,V0,0,360,30.00,2301801.76,1962160.83,293561.54,1544722.74,-320629.36,3.79%
25,141,C100k_L1000k_M600k_V0,100000,1000000,600000,V0,0,360,30.00,2267135.86,1607189.79,185370.55,1545844.64,-319507.46,N/A
26,146,C100k_L1100k_M500k_V0,100000,1100000,500000,V0,0,360,30.00,2252782.65,1561941.49,154475.46,1546988.76,-318363.34,N/A
27,151,C100k_L1200k_M400k_V0,100000,1200000,400000,V0,0,360,30.00,2238429.45,1516693.19,123580.37,1549652.00,-315700.10,N/A
28,156,C100k_L1300k_M300k_V0,100000,1300000,300000,V0,0,360,30.00,2224076.24,1471444.89,92685.27,1552315.23,-313036.87,N/A
29,161,C100k_L1400k_M200k_V0,100000,1400000,200000,V0,0,360,30.00,2209723.03,1426196.60,61790.18,1554978.47,-310373.63,N/A
30,82,C0k_L1600k_M100k_V1,0,1600000,100000,V1,5000,285,23.75,2065344.35,1092156.18,28250.97,1555304.90,-310047.20,8.88%
31,22,C0k_L400k_M1300k_V1,0,400000,1300000,V1,5000,302,25.17,2262657.99,1588649.50,253186.60,1557335.60,-308016.50,N/A
32,166,C100k_L1500k_M100k_V0,100000,1500000,100000,V0,0,360,30.00,2195369.83,1380948.30,30895.09,1557641.70,-307710.40,N/A
33,137,C100k_L900k_M700k_V1,100000,900000,700000,V1,5000,309,25.75,2142377.23,1279959.54,198399.19,1558510.05,-306842.05,N/A
34,136,C100k_L900k_M700k_V0,100000,900000,700000,V0,0,360,30.00,2281489.07,1652438.09,216265.64,1559206.08,-306146.02,N/A
35,132,C100k_L800k_M800k_V1,100000,800000,800000,V1,5000,309,25.75,2159180.23,1321211.17,222847.82,1559547.94,-305804.16,N/A
36,171,C100k_L1600k_M0k_V0,100000,1600000,0,V0,0,360,30.00,2181016.62,1335700.00,0.00,1560550.30,-304801.80,N/A
37,21,C0k_L400k_M1300k_V0,0,400000,1300000,V0,0,360,30.00,2341122.53,2007409.12,299489.06,1561065.62,-304286.48,4.36%
38,142,C100k_L1000k_M600k_V1,100000,1000000,600000,V1,5000,309,25.75,2125694.26,1235567.28,170689.90,1561233.90,-304118.20,N/A
39,87,C0k_L1700k_M0k_V1,0,1700000,0,V1,5000,267,22.25,2126772.17,1052044.90,0.00,1566622.58,-298729.52,7.78%
40,147,C100k_L1100k_M500k_V1,100000,1100000,500000,V1,5000,306,25.50,2119159.34,1189103.37,142130.98,1569750.36,-295601.74,N/A
41,127,C100k_L700k_M900k_V1,100000,700000,900000,V1,5000,308,25.67,2190846.46,1363084.28,236868.52,1570083.41,-295268.69,N/A
42,131,C100k_L800k_M800k_V0,100000,800000,800000,V0,0,360,30.00,2297921.84,1697686.38,245081.17,1575434.34,-289917.76,N/A
43,16,C0k_L300k_M1400k_V0,0,300000,1400000,V0,0,360,30.00,2381561.17,2052657.42,304298.72,1577408.51,-287943.59,4.84%
44,17,C0k_L300k_M1400k_V1,0,300000,1400000,V1,5000,296,24.67,2306588.43,1602611.03,250032.57,1577809.75,-287542.35,N/A
45,48,C0k_L900k_M800k_V2,0,900000,800000,V2,15000,205,17.08,2049287.86,916252.86,156715.62,1581063.26,-284288.84,7.68%
46,53,C0k_L1000k_M700k_V2,0,1000000,700000,V2,15000,205,17.08,2038900.55,890158.90,141008.99,1581480.42,-283871.68,7.52%
47,58,C0k_L1100k_M600k_V2,0,1100000,600000,V2,15000,204,17.00,2032259.59,861537.82,122030.75,1584187.25,-281164.85,7.30%
48,152,C100k_L1200k_M400k_V1,100000,1200000,400000,V1,5000,303,25.25,2114990.70,1145653.58,114006.86,1585497.05,-279855.05,9.40%
49,122,C100k_L600k_M1000k_V1,100000,600000,1000000,V1,5000,306,25.50,2232002.45,1403899.29,244083.80,1586681.78,-278670.32,N/A
50,63,C0k_L1200k_M500k_V2,0,1200000,500000,V2,15000,203,16.92,2027720.42,834920.86,103011.81,1588505.84,-276846.26,7.12%
51,43,C0k_L800k_M900k_V2,0,800000,900000,V2,15000,204,17.00,2070432.59,938823.49,161143.43,1590775.25,-274576.85,7.57%
52,126,C100k_L700k_M900k_V0,100000,700000,900000,V0,0,360,30.00,2324409.06,1742934.68,263842.24,1591690.68,-273661.42,N/A
53,11,C0k_L200k_M1500k_V0,0,200000,1500000,V0,0,360,30.00,2422758.85,2097905.72,308349.34,1593751.39,-271600.71,5.25%
54,12,C0k_L200k_M1500k_V1,0,200000,1500000,V1,5000,287,23.92,2344353.63,1595116.59,243666.18,1599906.84,-265445.26,N/A
55,68,C0k_L1300k_M400k_V2,0,1300000,400000,V2,15000,199,16.58,2029651.85,804356.05,82561.60,1599950.63,-265401.47,6.94%
56,157,C100k_L1300k_M300k_V1,100000,1300000,300000,V1,5000,300,25.00,2109749.18,1100743.61,85284.39,1601039.52,-264312.58,8.41%
57,38,C0k_L700k_M1000k_V2,0,700000,1000000,V2,15000,203,16.92,2090844.11,956884.38,161851.63,1602163.43,-263188.67,7.39%
58,117,C100k_L500k_M1100k_V1,100000,500000,1100000,V1,5000,303,25.25,2273576.85,1436193.71,245960.85,1605558.93,-259793.17,N/A
59,121,C100k_L600k_M1000k_V0,100000,600000,1000000,V0,0,360,30.00,2356794.72,1788182.98,276704.88,1608009.28,-257342.82,N/A
60,6,C0k_L100k_M1600k_V0,0,100000,1600000,V0,0,360,30.00,2464683.25,2143154.02,311673.23,1610094.27,-255257.83,5.62%
